source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	donor_id	PAM50_subtype	n_donors	tensor_score
Malignant cell	B_memory	COPA	CD74	2.9724083	0.0	2.2564197	0.7795301977661404	1.2987507951071007	0.029603207	0.9160452	0.023774283973212275	0.00015493062313498538	BC17086-12_Tumor	Basal	35	0.999845069376865
Malignant cell	Dendritic_cell	COPA	CD74	2.9454024	0.0	2.23441	0.7607861007380393	0.97611770227418	0.029314455	0.9156675	0.025102257168047818	0.00016389728722046538	BC17086-12_Tumor	Basal	50	0.9998361027127796
Malignant cell	Macrophage	COPA	CD74	2.577287	0.0	1.9344014	0.5052777117178477	0.46897046169220863	0.025378473	0.9099313	0.05116498565487759	0.00030332667273865534	BC17086-12_Tumor	Basal	56	0.9996966733272613
Macrophage	Malignant cell	CD14	ITGB1	0.79653984	0.0	0.44615793	2.5779647132632117	1.442907161169032	0.32916665	0.82911336	2.1350244995374652e-05	0.08220128487783664	BC17086-12_Tumor	Basal	37	0.9177987151221634
Malignant cell	B_memory	PODXL2	SELL	1.0041196	0.0	0.3150824	1.0627468250715304	1.0179515755649011	0.16490422	0.8030453	0.0008520441629732393	0.13864745216753768	BC17086-12_Tumor	Basal	10	0.8613525478324623
Macrophage	Malignant cell	CXCL10	SDC4	1.4077859	0.0	0.2908293	1.3873514015669963	2.4878484711773314	0.06510841	0.796634	0.0027588438572782926	0.167641302748349	BC17086-12_Tumor	Basal	10	0.832358697251651
Malignant cell	Dendritic_cell	MIF	CD74_CXCR4	1.1369336	0.0	0.22210479	0.4935466889426138	0.5543094403445017	0.030772058	0.7739227	0.018981980763048578	0.2881798534717303	BC17086-12_Tumor	Basal	22	0.7118201465282696
Malignant cell	Macrophage	HMGB1	TLR2	0.41023707	0.0	0.061497293	1.9845384214108228	0.7070818694694441	0.15217197	0.6430247	0.001908805692779169	0.4059985102784467	BC17086-12_Tumor	Basal	19	0.5940014897215533
Malignant cell	Exhausted_T	HMGB1	HAVCR2	0.45401326	0.0	0.06880255	0.36327639777184684	0.4589055569311436	0.04621151	0.65580165	0.0027588438572782926	0.4251608296021592	BC17086-12_Tumor	Basal	18	0.5748391703978408
Malignant cell	B_memory	MIF	CD74_CXCR4	0.8821836	0.0	0.16999441	0.22799130683842328	0.2571957527548936	0.023552295	0.7496793	0.07363997984292511	0.45599477348387035	BC17086-12_Tumor	Basal	34	0.5440052265161297
Malignant cell	Macrophage	COPA	CD74	2.7441678	0.0	3.1935325	0.3189010201796628	0.6140203135284686	0.21469007	0.91713107	0.2411435045229418	0.00031493382477914856	BC17086-24_Tumor	Basal	56	0.9996850661752209
Malignant cell	Macrophage	APP	CD74	2.7210212	0.0	2.9700904	0.3467503215322544	0.8099808204468955	0.3790583	0.9143326	0.023223667296684777	0.0009228971031240514	BC17086-24_Tumor	Basal	54	0.9990771028968759
Treg	Malignant cell	HLA-A	APLP2	1.2487468	0.0	0.71684706	0.6083520129029902	0.9445704398062857	0.38778886	0.8398321	0.020035662096861633	0.03567192447763747	BC17086-24_Tumor	Basal	28	0.9643280755223625
Macrophage	Malignant cell	C1QB	C1QBP	0.8593845	0.0	0.2925177	1.504660259925471	1.761947315433918	0.62060684	0.7700885	0.016663410550716795	0.16114917060738027	BC17086-24_Tumor	Basal	52	0.8388508293926198
Macrophage	Malignant cell	SPP1	ITGAV_ITGB1	0.76459754	0.0	0.34034124	1.4805066629960157	2.2988037940544026	0.28517535	0.7832186	0.0225842614012201	0.16299496386569334	BC17086-24_Tumor	Basal	14	0.8370050361343067
Macrophage	Malignant cell	CD14	ITGB1	0.75184906	0.0	0.51145494	1.6910410373445914	1.2220234626049868	0.66030556	0.81580466	0.011396837180406995	0.1723624573704403	BC17086-24_Tumor	Basal	37	0.8276375426295597
